ID,Label,NodeType
288,1504573068299350019,4
289,sadhu_aditya,1
290,sunrisers,3
291,singhhemant0106,1
292,1504600976447221762,4
293,isoumiksaheb,3
294,anandsumit161,1
295,1504571596031557632,4
296,1504553187864297481,4
297,thevijaymallya,3
298,1504565770285682691,4
299,1504570869967986693,4
300,cricketmerijaan,2
301,daniel86cricket,3
302,1504595870381129728,4
303,cricketracker,3
304,csk,2
305,1504593691209461760,4
306,1504571055683387399,4
307,sadhu_aditya,3
308,f1jm_,3
309,1504569205659742214,4
310,officialpsl,1
311,yellovearmy,2
312,shuklarajiv,1
313,bets_pls,1
314,singhhemant0106,3
315,1504569863288733696,4
316,farzicricketer,1
317,1504562217223536645,4
318,1504586240741548037,4
319,1504567756229853191,4
320,1504552280967860225,4
321,1504590671914872833,4
322,1504565931950944260,4
323,anandsumit161,3
324,1504553309268758528,4
325,sacricketmag,1
326,1504558429561671680,4
327,1504552614758858752,4
328,babarazam258,3
329,admiringgemhc,1
330,1504571006182375424,4
331,officialpsl,3
332,iamamirofficial,3
333,shuklarajiv,3
334,amp86793444,3
335,bets_pls,3
336,1504567840958988289,4
337,farzicricketer,3
338,1504573259882405898,4
339,criccrazyjohns,3
340,1504553887965097988,4
341,sacricketmag,3
342,amolrajan,1
343,therealpcbmedia,1
344,1504589992584261635,4
345,inningsr,1
346,1504606386709274625,4
347,dslatts,3
348,1504573190001111046,4
349,sonysportsnetwk,3
350,1504565921502806039,4
351,1504552322084786176,4
352,1504589458213150722,4
353,iplt22,2
354,thim_ponnappa,3
355,ahmedjamalmalik,3
356,1504593504332361741,4
357,laserhairremoval,2
358,1504573336625774592,4
359,1504566224927146029,4
360,firstteam,1
361,1504561688162418698,4
362,1504567926174752770,4
363,amolrajan,3
364,bostonclimate,1
365,jjwatt,3
366,therealpcbmedia,3
367,indiavssouthafrica,2
368,dineshkarthik,2
369,therealpcb,1
370,1504575706369511433,4
371,1504566509837774863,4
372,1504562666106458123,4
373,1504560717814538244,4
374,gorgeousgryffin,1
375,cricketcomau,3
376,imboyaman,1
377,rohitsharma,2
378,loyalsachinfan,1
379,imtheguy007,1
380,indvssa,2
381,1504552415298666504,4
382,bostonclimate,3
383,nigamrajput45,1
384,1504591461459070976,4
385,perko78,3
386,1504570775151554560,4
387,1504551649288896514,4
388,gauravkapur,3
389,critcalthinkr,1
390,tomboyanarchy_,3
391,liaml4893,1
392,crickettwitter,2
393,gorgeousgryffin,3
394,imboyaman,3
395,1504558496888598528,4
396,loyalsachinfan,3
397,imtheguy007,3
398,1504552676016603155,4
399,sports,2
400,9m_fisher,3
401,hindustantimes,1
402,88goals,2
403,chahar,2
404,nigamrajput45,3
405,jaspritbumrah93,3
406,kehnahikyaax,1
407,mass_ipl,1
408,icc,1
409,1504551880126795776,4
410,1504588374262308870,4
411,1504586794779967490,4
412,marshallcaj3107,1
413,critcalthinkr,3
414,1504573086741397504,4
415,1504568396439908369,4
416,liaml4893,3
417,1504555043869331456,4
418,1504575225374994442,4
419,rr,2
420,jamshid53544919,3
421,1504590391987044358,4
422,1504555854967750656,4
423,imvkohli,3
424,1504559134490116096,4
425,kevin_abd17,1
426,hindustantimes,3
427,weirdlygripping,1
428,maliksa11065709,1
429,attack,2
430,icc,3
431,kehnahikyaax,3
432,mass_ipl,3
433,1504562387948486666,4
434,inufc_sy,1
435,msdhoni𓃵,2
436,rilla_2004,1
437,mipaltan,1
438,1504584848601542674,4
439,alishaesthetic,1
440,1504571044581249025,4
441,kevin_abd17,3
442,worldcup,2
443,incindia,1
444,weirdlygripping,3
445,1504608013780680705,4
446,criccrazyj0hns,3
447,maliksa11065709,3
448,chennaiipl,1
449,fazalhuqfarooqi,3
450,shu66523268,1
451,thraxjax,1
452,latest,2
453,1504594882962227207,4
454,1504601404618510340,4
455,impritam264,1
456,inufc_sy,3
457,1504585167536594950,4
458,mipaltan,3
459,bcci,1
460,murtazaatif7,1
461,1504560097669918722,4
462,incindia,3
463,1504557767268483074,4
464,cricketracker,1
465,stocks,2
466,khushbookadri,3
467,chennaiipl,3
468,mikehaysman,3
469,1504557255248658451,4
470,iplmediarights,3
471,1504560687170924550,4
472,1504573487805079557,4
473,shu66523268,3
474,thraxjax,3
475,impritam264,3
476,rohithsharma,2
477,1504601123684220930,4
478,bcci,3
